plate,hm_n,hm_in,hm_rmse_um,hm_pitch_um,hm_norm,hm_rot,tilt_pp_um,tilt_frac,rgb_n,rgb_in,rgb_rmse_px,rgb_pitch_px,rgb_norm,rgb_rot,cross_rmse_um,cross_max_um,cross_slots,um_per_px_x,um_per_px_y,px_aspect,rel_rot,old_hm_norm,old_hm_rmse,old_hm_in,old_rgb_norm,old_rgb_rmse,old_rgb_in
10-20-2025_P6,64,63,7.100295607191317,265.9406442594518,0.026698798248620717,1.8379509966661514,4.279875778228123,0.39684817643515163,67,61,2.5883550355064826,215.82557121919416,0.01199280984586265,0.24458402858608883,7.319100277993212,16.39362384572949,60,1.083364404474135,1.4412202112581125,1.3303189631356593,1.4924269494748077,0.03486334832630069,1.6877314656070148,64,0.01220505178424425,2.632706737186996,59
10-22-2025_P3,64,63,7.629330261954415,264.534813009107,0.02884055287532898,2.6531086738449368,8.096471014296396,0.5317364466428788,68,64,3.021414883063697,215.40668399053993,0.014026560490557428,0.4838706468492221,8.957824482319388,20.01179608465929,63,1.0724526124099039,1.4656214139735124,1.3666071554249102,1.851850232895445,0.0343109487360858,1.6796738169682415,63,,,
10-22-2025_P4,63,61,8.346964644754964,266.4536202355845,0.031326144630255015,0.6051084149797642,11.348355426221406,0.7099574769992271,80,60,3.1233699397288524,215.89310864528915,0.014467205365320517,0.056636084233520984,9.27831746636794,16.941941681729084,60,1.1126619976746195,1.4016305866731702,1.2597092285010842,0.941734121832881,,,,0.038845935064460185,8.383133932116898,56
10-22-2025_P8,64,63,8.640658915758115,267.0934312833405,0.032350697934580994,1.4254253551458274,13.578519205942902,0.631936589661896,67,63,2.2699313484233743,215.85759702353397,0.010515874260269347,-0.08901574613896933,8.757948643164736,16.094004337261214,62,1.1159243313315317,1.4011075955987644,1.2555578870898436,1.3744966213244212,0.04086859849296317,2.028171248140474,63,0.012197881952598508,2.6365643264312473,62
10-22-2025_P9,64,60,8.25125781832177,264.32000804473154,0.031216924815337433,1.7652777611819033,0.017691625103956332,0.0017967266265299642,76,61,2.2406266085966617,216.03328719208457,0.01037167298484156,0.40632016017758754,9.942905436235147,18.138562370068914,59,1.0937244964641013,1.4218800576800825,1.3000349377534053,0.8488780433196831,0.03545261530237314,1.7016346238292375,60,0.020957446801835485,4.534909716642617,59
10-27-2025_P2,63,61,5.496096122040362,262.93730806016464,0.020902686509526293,2.6764741396131226,4.373653438838368,0.42048728861753787,77,61,2.3235658325780593,215.73857689345567,0.010770284415686917,0.3510843368263124,9.568942265556654,21.69811527087692,58,1.112313356329466,1.3971144648755194,1.2560439528352616,2.1603440357662524,0.026814810374892306,1.333321093132079,62,0.015475237307294241,3.335442377937827,61
10-27-2025_P4,64,63,8.159244620292707,267.7813816110435,0.030469798053936896,0.9039919042273519,7.670004795188723,0.5412091791158433,79,64,2.3259440021656146,216.15971827075975,0.010760302709370475,-0.7969489759800706,9.28891462765698,18.887740530116847,63,1.1309854141458728,1.3764852849840046,1.2170672298400371,2.029763937529539,0.03129334387208106,1.5662439189548207,61,0.01144140941270162,2.4759290396485514,64
10-27-2025_P5,64,64,7.521648218552877,268.2181602280865,0.028043023679517606,0.5736145796094567,7.813532378257927,0.39997180544748256,67,62,1.9768891951925045,216.19970480950616,0.00914381079721799,0.2385154623707574,7.778505662840566,15.994444003501751,62,1.1060687708375032,1.417455653478628,1.2815257883154463,0.2565750855822549,0.030721979558945067,1.5280419200319773,64,,,
6-18-2025_P2,63,63,7.48928507671688,267.569223499916,0.02799008413132847,2.5419524702040124,21.1443427292412,0.792650597227178,70,63,2.5717555960391527,216.17248830844284,0.011896775654308413,0.09756314777545051,8.919385815091145,20.358704602296637,62,1.0849245455057548,1.4312916606667838,1.319254566223833,2.2100312840773144,0.02957684267183703,1.43971392590598,61,0.012834877245854125,2.7792039524610295,64
6-18-2025_P3,48,48,8.175548221071782,267.0460496165092,0.03061475064998062,1.026128014180781,22.031073237379186,0.8991886528413372,76,62,2.1060455811852643,216.13388466490545,0.009744171231875478,0.04640322354094059,44.34312983100592,87.50876137241322,47,0.9989276130978514,1.2953115563954545,1.296702122767899,1.2305454197478163,,,,0.00940618305553569,2.033676435362824,64
